movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
high-noon-1952,High Noon,1952,25,no,85,0.73,12,Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado, Grace Kelly, Otto Kruger, Lon Chaney Jr., Harry Morgan, Eve McVeagh,,,,,,,,,,
ivanhoe-1952,Ivanhoe,1952,25,no,106,3.842,10.878,,,,,,,,,,,,,,,,,,,
moulin-rouge-1952,Moulin Rouge,1952,25,no,119,4.1850000000000005,5,,,,,,,,,,,,,,,,,,,
the-quiet-man-1952,The Quiet Man,1952,25,no,129,1.75,3.2,,,,,,,,,,,,,,,,,,,
from-here-to-eternity-1953,From Here to Eternity,1953,26,yes,118,2.5,30.5,Burt Lancaster, Montgomery Clift, Deborah Kerr, Frank Sinatra, Donna Reed,,,,,,,,,,,,,,
julius-caesar-1953,Julius Caesar,1953,26,no,121,2.07,3.92,,,,,,,,,,,,,,,,,,,
the-robe-1953,The Robe,1953,26,no,135,4.1,36,Richard Burton, Jean Simmons, Victor Mature, Michael Rennie,,,,,,,,,,,,,,,
roman-holiday-1953,Roman Holiday,1953,26,no,118,1.5,12,Gregory Peck, Audrey Hepburn,,,,,,,,,,,,,,,,,
shane-1953,Shane,1953,26,no,118,3.1,20,,,,,,,,,,,,,,,,,,,
on-the-waterfront-1954,On the Waterfront,1954,27,yes,108,0.91,9.6,Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning, Eva Marie Saint,,,,,,,,,,,,,
the-caine-mutiny-1954,The Caine Mutiny,1954,27,no,124,2,21.8,Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis,,,,,,,,,,,,,,
the-country-girl-1954,The Country Girl,1954,27,no,104,NA,6.5,Bing Crosby, Grace Kelly, William Holden,,,,,,,,,,,,,,,,
seven-brides-for-seven-brothers-1954,Seven Brides for Seven Brothers,1954,27,no,102,2.54,9.403,Howard KeelJane PowellJeff RichardsMatt MattoxMarc PlattJacques d'AmboiseTommy RallRuss TamblynJulie NewmarRuta Lee, Norma DoggettVirginia Gibson, Betty Carr, Nancy KilgasIan WolfeMarjorie WoodRussell SimpsonHoward Petrie,,,,,,,,,,,,,,,
three-coins-in-the-fountain-1954,Three Coins in the Fountain,1954,27,no,102,1.7,5,Clifton Webb, Dorothy McGuire, Jean Peters, Louis Jourdan, Rossano Brazzi, Maggie McNamara,,,,,,,,,,,,,
marty-1955,Marty,1955,28,yes,NA,NA,NA,,,,,,,,,,,,,,,,,,,
love-is-a-manysplendored-thing-1955,Love Is a Many-Splendored Thing,1955,28,no,102,1.78,3,,,,,,,,,,,,,,,,,,,
